0.0047	4.88045405e-01	1.28693425e+00	2.71565352e+00	3.01339351e+00
0.0053	5.53606344e-01	1.44735059e+00	3.00602786e+00	3.26494755e+00
0.0060	6.18174219e-01	1.60227033e+00	3.27518793e+00	3.47957742e+00
0.0067	6.81764072e-01	1.75180851e+00	3.52409109e+00	3.65959060e+00
0.0073	7.44390718e-01	1.89607811e+00	3.75365704e+00	3.80718690e+00
0.0080	8.06068745e-01	2.03519005e+00	3.96476921e+00	3.92446281e+00
0.0087	8.66812523e-01	2.16925327e+00	4.15827611e+00	4.01341581e+00
0.0093	9.26636204e-01	2.29837473e+00	4.33499264e+00	4.07594835e+00
0.0100	9.85553723e-01	2.42265944e+00	4.49570133e+00	4.11387182e+00
0.0107	1.04357881e+00	2.54221054e+00	4.64115360e+00	4.12891028e+00
0.0113	1.10072498e+00	2.65712926e+00	4.77207085e+00	4.12270410e+00
0.0120	1.15700554e+00	2.76751502e+00	4.88914569e+00	4.09681340e+00
0.0127	1.21243361e+00	2.87346543e+00	4.99304292e+00	4.05272143e+00
0.0133	1.26702210e+00	2.97507629e+00	5.08440063e+00	3.99183776e+00
0.0140	1.32078373e+00	3.07244169e+00	5.16383120e+00	3.91550138e+00
0.0147	1.37373102e+00	3.16565397e+00	5.23192227e+00	3.82498367e+00
0.0153	1.42587631e+00	3.25480382e+00	5.28923767e+00	3.72149123e+00
0.0160	1.47723174e+00	3.33998022e+00	5.33631829e+00	3.60616867e+00
0.0167	1.52780928e+00	3.42127055e+00	5.37368301e+00	3.48010122e+00
0.0173	1.57762072e+00	3.49876058e+00	5.40182947e+00	3.34431723e+00
0.0180	1.62667765e+00	3.57253450e+00	5.42123492e+00	3.19979069e+00
0.0187	1.67499151e+00	3.64267495e+00	5.43235697e+00	3.04744348e+00
0.0193	1.72257354e+00	3.70926303e+00	5.43563433e+00	2.88814768e+00
0.0200	1.76943485e+00	3.77237835e+00	5.43148757e+00	2.72272771e+00
0.0207	1.81558633e+00	3.83209907e+00	5.42031975e+00	2.55196239e+00
0.0213	1.86103875e+00	3.88850188e+00	5.40251714e+00	2.37658696e+00
0.0220	1.90580270e+00	3.94166203e+00	5.37844984e+00	2.19729499e+00
0.0227	1.94988859e+00	3.99165341e+00	5.34847239e+00	2.01474019e+00
0.0233	1.99330671e+00	4.03854850e+00	5.31292437e+00	1.82953821e+00
0.0240	2.03606717e+00	4.08241844e+00	5.27213100e+00	1.64226834e+00
0.0247	2.07817992e+00	4.12333305e+00	5.22640365e+00	1.45347509e+00
0.0253	2.11965478e+00	4.16136084e+00	5.17604041e+00	1.26366983e+00
0.0260	2.16050142e+00	4.19656903e+00	5.12132656e+00	1.07333220e+00
0.0267	2.20072935e+00	4.22902358e+00	5.06253511e+00	8.82911651e-01
0.0273	2.24034793e+00	4.25878920e+00	4.99992725e+00	6.92828740e-01
0.0280	2.27936640e+00	4.28592942e+00	4.93375280e+00	5.03476512e-01
0.0287	2.31779386e+00	4.31050652e+00	4.86425066e+00	3.15221757e-01
0.0293	2.35563924e+00	4.33258163e+00	4.79164926e+00	1.28406229e-01
0.0300	2.39291138e+00	4.35221473e+00	4.71616691e+00	-5.66521729e-02
0.0307	2.42961894e+00	4.36946465e+00	4.63801226e+00	-2.39658282e-01
0.0313	2.46577049e+00	4.38438910e+00	4.55738460e+00	-4.20338587e-01
0.0320	2.50137445e+00	4.39704471e+00	4.47447432e+00	-5.98440191e-01
0.0327	2.53643910e+00	4.40748700e+00	4.38946318e+00	-7.73729824e-01
0.0333	2.57097263e+00	4.41577046e+00	4.30252468e+00	-9.45992887e-01
0.0340	2.60498307e+00	4.42194852e+00	4.21382440e+00	-1.11503254e+00
0.0347	2.63847834e+00	4.42607359e+00	4.12352029e+00	-1.28066882e+00
0.0353	2.67146626e+00	4.42819708e+00	4.03176296e+00	-1.44273783e+00
0.0360	2.70395450e+00	4.42836940e+00	3.93869602e+00	-1.60109088e+00
0.0367	2.73595063e+00	4.42663999e+00	3.84445631e+00	-1.75559378e+00
0.0373	2.76746212e+00	4.42305734e+00	3.74917418e+00	-1.90612605e+00
0.0380	2.79849629e+00	4.41766901e+00	3.65297377e+00	-2.05258025e+00
0.0387	2.82906038e+00	4.41052161e+00	3.55597324e+00	-2.19486128e+00
0.0393	2.85916152e+00	4.40166088e+00	3.45828501e+00	-2.33288573e+00
0.0400	2.88880670e+00	4.39113163e+00	3.36001601e+00	-2.46658127e+00
0.0407	2.91800285e+00	4.37897784e+00	3.26126786e+00	-2.59588606e+00
0.0413	2.94675675e+00	4.36524258e+00	3.16213714e+00	-2.72074817e+00
0.0420	2.97507511e+00	4.34996813e+00	3.06271555e+00	-2.84112502e+00
0.0427	3.00296453e+00	4.33319590e+00	2.96309011e+00	-2.95698289e+00
0.0433	3.03043151e+00	4.31496649e+00	2.86334341e+00	-3.06829642e+00
0.0440	3.05748243e+00	4.29531972e+00	2.76355369e+00	-3.17504809e+00
0.0447	3.08412361e+00	4.27429461e+00	2.66379513e+00	-3.27722781e+00
0.0453	3.11036125e+00	4.25192940e+00	2.56413792e+00	-3.37483247e+00
0.0460	3.13620147e+00	4.22826158e+00	2.46464848e+00	-3.46786552e+00
0.0467	3.16165027e+00	4.20332789e+00	2.36538961e+00	-3.55633655e+00
0.0473	3.18671360e+00	4.17716435e+00	2.26642064e+00	-3.64026095e+00
0.0480	3.21139729e+00	4.14980623e+00	2.16779755e+00	-3.71965954e+00
0.0487	3.23570710e+00	4.12128813e+00	2.06957314e+00	-3.79455817e+00
0.0493	3.25964867e+00	4.09164393e+00	1.97179715e+00	-3.86498748e+00
0.0500	3.28322760e+00	4.06090683e+00	1.87451641e+00	-3.93098248e+00
0.0507	3.30644937e+00	4.02910938e+00	1.77777491e+00	-3.99258233e+00
0.0513	3.32931940e+00	3.99628344e+00	1.68161399e+00	-4.04983002e+00
0.0520	3.35184302e+00	3.96246024e+00	1.58607240e+00	-4.10277209e+00
0.0527	3.37402546e+00	3.92767038e+00	1.49118645e+00	-4.15145836e+00
0.0533	3.39587190e+00	3.89194384e+00	1.39699009e+00	-4.19594173e+00
0.0540	3.41738743e+00	3.85530996e+00	1.30351500e+00	-4.23627788e+00
0.0547	3.43857706e+00	3.81779750e+00	1.21079075e+00	-4.27252507e+00
0.0553	3.45944573e+00	3.77943464e+00	1.11884480e+00	-4.30474394e+00
0.0560	3.47999829e+00	3.74024894e+00	1.02770269e+00	-4.33299729e+00
0.0567	3.50023954e+00	3.70026742e+00	9.37388049e-01	-4.35734986e+00
0.0573	3.52017419e+00	3.65951655e+00	8.47922725e-01	-4.37786819e+00
0.0580	3.53980689e+00	3.61802222e+00	7.59326842e-01	-4.39462042e+00
0.0587	3.55914221e+00	3.57580979e+00	6.71618891e-01	-4.40767613e+00
0.0593	3.57818465e+00	3.53290410e+00	5.84815793e-01	-4.41710615e+00
0.0600	3.59693865e+00	3.48932946e+00	4.98932981e-01	-4.42298245e+00
0.0607	3.61540859e+00	3.44510967e+00	4.13984459e-01	-4.42537800e+00
0.0613	3.63359875e+00	3.40026804e+00	3.29982877e-01	-4.42436658e+00
0.0620	3.65151338e+00	3.35482736e+00	2.46939585e-01	-4.42002270e+00
0.0627	3.66915666e+00	3.30880997e+00	1.64864700e-01	-4.41242148e+00
0.0633	3.68653269e+00	3.26223769e+00	8.37671646e-02	-4.40163848e+00
0.0640	3.70364553e+00	3.21513192e+00	3.65479829e-03	-4.38774967e+00
0.0647	3.72049915e+00	3.16751358e+00	-7.54656450e-02	-4.37083127e+00
0.0653	3.73709749e+00	3.11940313e+00	-1.53588426e-01	-4.35095965e+00
0.0660	3.75344441e+00	3.07082061e+00	-2.30708772e-01	-4.32821129e+00
0.0667	3.76954372e+00	3.02178562e+00	-3.06822827e-01	-4.30266263e+00
0.0673	3.78539917e+00	2.97231731e+00	-3.81927608e-01	-4.27439003e+00
0.0680	3.80101445e+00	2.92243445e+00	-4.56020960e-01	-4.24346968e+00
0.0687	3.81639321e+00	2.87215537e+00	-5.29101515e-01	-4.20997754e+00
0.0693	3.83153902e+00	2.82149801e+00	-6.01168650e-01	-4.17398923e+00
0.0700	3.84645541e+00	2.77047993e+00	-6.72222451e-01	-4.13558003e+00
0.0707	3.86114587e+00	2.71911826e+00	-7.42263674e-01	-4.09482476e+00
0.0713	3.87561380e+00	2.66742979e+00	-8.11293709e-01	-4.05179777e+00
0.0720	3.88986259e+00	2.61543092e+00	-8.79314548e-01	-4.00657287e+00
0.0727	3.90389554e+00	2.56313768e+00	-9.46328749e-01	-3.95922326e+00
0.0733	3.91771594e+00	2.51056574e+00	-1.01233941e+00	-3.90982152e+00
0.0740	3.93132700e+00	2.45773041e+00	-1.07735013e+00	-3.85843955e+00
0.0747	3.94473189e+00	2.40464669e+00	-1.14136500e+00	-3.80514853e+00
0.0753	3.95793373e+00	2.35132918e+00	-1.20438853e+00	-3.75001888e+00
0.0760	3.97093560e+00	2.29779220e+00	-1.26642570e+00	-3.69312026e+00
0.0767	3.98374052e+00	2.24404971e+00	-1.32748185e+00	-3.63452149e+00
0.0773	3.99635149e+00	2.19011536e+00	-1.38756270e+00	-3.57429055e+00
0.0780	4.00877144e+00	2.13600247e+00	-1.44667435e+00	-3.51249453e+00
0.0787	4.02100326e+00	2.08172408e+00	-1.50482320e+00	-3.44919967e+00
0.0793	4.03304981e+00	2.02729289e+00	-1.56201596e+00	-3.38447124e+00
0.0800	4.04491388e+00	1.97272133e+00	-1.61825964e+00	-3.31837361e+00
0.0807	4.05659824e+00	1.91802153e+00	-1.67356150e+00	-3.25097018e+00
0.0813	4.06810562e+00	1.86320531e+00	-1.72792908e+00	-3.18232340e+00
0.0820	4.07943870e+00	1.80828424e+00	-1.78137012e+00	-3.11249470e+00
0.0827	4.09060011e+00	1.75326960e+00	-1.83389260e+00	-3.04154455e+00
0.0833	4.10159246e+00	1.69817240e+00	-1.88550467e+00	-2.96953240e+00
0.0840	4.11241830e+00	1.64300337e+00	-1.93621469e+00	-2.89651668e+00
0.0847	4.12308016e+00	1.58777301e+00	-1.98603117e+00	-2.82255481e+00
0.0853	4.13358053e+00	1.53249153e+00	-2.03496279e+00	-2.74770317e+00
0.0860	4.14392184e+00	1.47716891e+00	-2.08301835e+00	-2.67201712e+00
0.0867	4.15410651e+00	1.42181488e+00	-2.13020680e+00	-2.59555096e+00
0.0873	4.16413692e+00	1.36643893e+00	-2.17653719e+00	-2.51835797e+00
0.0880	4.17401539e+00	1.31105030e+00	-2.22201868e+00	-2.44049039e+00
0.0887	4.18374423e+00	1.25565801e+00	-2.26666051e+00	-2.36199940e+00
0.0893	4.19332570e+00	1.20027085e+00	-2.31047203e+00	-2.28293515e+00
0.0900	4.20276204e+00	1.14489738e+00	-2.35346263e+00	-2.20334676e+00
0.0907	4.21205545e+00	1.08954595e+00	-2.39564177e+00	-2.12328230e+00
0.0913	4.22120809e+00	1.03422469e+00	-2.43701898e+00	-2.04278881e+00
0.0920	4.23022209e+00	9.78941515e-01	-2.47760382e+00	-1.96191230e+00
0.0927	4.23909956e+00	9.23704145e-01	-2.51740589e+00	-1.88069775e+00
0.0933	4.24784255e+00	8.68520088e-01	-2.55643480e+00	-1.79918912e+00
0.0940	4.25645312e+00	8.13396653e-01	-2.59470021e+00	-1.71742938e+00
0.0947	4.26493326e+00	7.58340959e-01	-2.63221177e+00	-1.63546046e+00
0.0953	4.27328495e+00	7.03359930e-01	-2.66897914e+00	-1.55332331e+00
0.0960	4.28151013e+00	6.48460304e-01	-2.70501200e+00	-1.47105788e+00
0.0967	4.28961073e+00	5.93648635e-01	-2.74031999e+00	-1.38870313e+00
0.0973	4.29758862e+00	5.38931299e-01	-2.77491276e+00	-1.30629706e+00
0.0980	4.30544567e+00	4.84314493e-01	-2.80879995e+00	-1.22387670e+00
0.0987	4.31318371e+00	4.29804242e-01	-2.84199114e+00	-1.14147811e+00
0.0993	4.32080454e+00	3.75406402e-01	-2.87449593e+00	-1.05913641e+00
0.1000	4.32830994e+00	3.21126662e-01	-2.90632385e+00	-9.76885787e-01


1.0000	8.75819431e-01	-1.97202544e+00	1.45200909e+00	-6.33695465e-01
1.0400	8.58069810e-01	-1.80817406e+00	1.24980715e+00	-6.17045708e-01
1.0800	8.41025337e-01	-1.65949462e+00	1.08107367e+00	-6.19957781e-01
1.1200	8.24644810e-01	-1.52422299e+00	9.40182475e-01	-6.35275139e-01
1.1600	8.08890174e-01	-1.40084451e+00	8.22533074e-01	-6.57900804e-01
1.2000	7.93726230e-01	-1.28805244e+00	7.24345339e-01	-6.84230942e-01
1.2400	7.79120369e-01	-1.18471445e+00	6.42499133e-01	-7.11746399e-01
1.2800	7.65042339e-01	-1.08984517e+00	5.74408276e-01	-7.38716572e-01
1.3200	7.51464034e-01	-1.00258379e+00	5.17920814e-01	-7.63983735e-01
1.3600	7.38359312e-01	-9.22175501e-01	4.71239642e-01	-7.86805386e-01
1.4000	7.25703820e-01	-8.47956206e-01	4.32858953e-01	-8.06738639e-01
1.4400	7.13474848e-01	-7.79339651e-01	4.01513100e-01	-8.23555297e-01
1.4800	7.01651191e-01	-7.15806722e-01	3.76135228e-01	-8.37179368e-01
